,technique_id,is_subtechnique,technique,tactic,platform,data_source,data_component,relationship_id,name,source,relationship,target,event_id,event_name,event_platform,audit_category,audit_sub_category,channel,log_source,filter_in,event_identity,source_identity
27,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session metadata,REL-2022-0050,Logon Metadata,logon,metadata,,4622,a security package has been loaded by the local security authority.,windows,System,Security System Extension,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4622|a security package has been loaded by the local security authority.,windows|logon session|logon session metadata
28,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session creation,REL-2022-0046,User created logon from Ip,user,created logon from,ip,4624,an account was successfully logged on.,windows,Logon/Logoff,Logon,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4624|an account was successfully logged on.,windows|logon session|logon session creation
29,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session creation,REL-2022-0046,User created logon from Ip,user,created logon from,ip,4778,a session was reconnected to a window station.,windows,Logon/Logoff,Other Logon/Logoff Events,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4778|a session was reconnected to a window station.,windows|logon session|logon session creation
30,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session creation,REL-2022-0046,User created logon from Ip,user,created logon from,ip,DeviceLogonEvents,devicelogonevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""LogonSuccess""}",windows|microsoft defender for endpoint|DeviceLogonEvents|devicelogonevents,windows|logon session|logon session creation
31,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session creation,REL-2022-0059,User created logon from Port,user,created logon from,port,4624,an account was successfully logged on.,windows,Logon/Logoff,Logon,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4624|an account was successfully logged on.,windows|logon session|logon session creation
32,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session creation,REL-2022-0059,User created logon from Port,user,created logon from,port,DeviceLogonEvents,devicelogonevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""LogonSuccess""}",windows|microsoft defender for endpoint|DeviceLogonEvents|devicelogonevents,windows|logon session|logon session creation
33,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session creation,REL-2022-0186,User created Logon,user,created,logon,4624,an account was successfully logged on.,windows,Logon/Logoff,Logon,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4624|an account was successfully logged on.,windows|logon session|logon session creation
34,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session creation,REL-2022-0186,User created Logon,user,created,logon,4778,a session was reconnected to a window station.,windows,Logon/Logoff,Other Logon/Logoff Events,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4778|a session was reconnected to a window station.,windows|logon session|logon session creation
35,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session creation,REL-2022-0186,User created Logon,user,created,logon,4964,special groups have been assigned to a new logon.,windows,Logon/Logoff,Special Logon,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4964|special groups have been assigned to a new logon.,windows|logon session|logon session creation
36,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session creation,REL-2022-0186,User created Logon,user,created,logon,DeviceLogonEvents,devicelogonevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""LogonSuccess""}",windows|microsoft defender for endpoint|DeviceLogonEvents|devicelogonevents,windows|logon session|logon session creation
