technique_id,is_subtechnique,technique,tactic,platform,data_source,data_component,relationship_id,name,source,relationship,target,event_id,event_name,event_platform,audit_category,audit_sub_category,channel,log_source,filter_in,event_identity,source_identity,evidence_degree,evidence_score,evidence_confidence_reason
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session metadata,REL-2022-0050,Logon Metadata,logon,metadata,,4611,a trusted logon process has been registered with the local security authority.,windows,System,Security System Extension,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4611|a trusted logon process has been registered with the local security authority.,windows|logon session|logon session metadata,10,0.471,"Evidence score 0.47: this telemetry is shared with 9 other techniques, giving it moderate specificity; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session metadata,REL-2022-0050,Logon Metadata,logon,metadata,,4614,a notification package has been loaded by the security account manager.,windows,System,Security System Extension,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4614|a notification package has been loaded by the security account manager.,windows|logon session|logon session metadata,10,0.471,"Evidence score 0.47: this telemetry is shared with 9 other techniques, giving it moderate specificity; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session metadata,REL-2022-0050,Logon Metadata,logon,metadata,,4622,a security package has been loaded by the local security authority.,windows,System,Security System Extension,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4622|a security package has been loaded by the local security authority.,windows|logon session|logon session metadata,10,0.471,"Evidence score 0.47: this telemetry is shared with 9 other techniques, giving it moderate specificity; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session creation,REL-2022-0046,User created logon from Ip,user,created logon from,ip,4624,an account was successfully logged on.,windows,Logon/Logoff,Logon,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4624|an account was successfully logged on.,windows|logon session|logon session creation,37,0.2891,"Evidence score 0.29: this telemetry is shared with 36 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session creation,REL-2022-0046,User created logon from Ip,user,created logon from,ip,4778,a session was reconnected to a window station.,windows,Logon/Logoff,Other Logon/Logoff Events,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4778|a session was reconnected to a window station.,windows|logon session|logon session creation,26,0.3393,"Evidence score 0.34: this telemetry is shared with 25 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session creation,REL-2022-0046,User created logon from Ip,user,created logon from,ip,DeviceLogonEvents,devicelogonevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""LogonSuccess""}",windows|microsoft defender for endpoint|DeviceLogonEvents|devicelogonevents,windows|logon session|logon session creation,40,0.278,"Evidence score 0.28: this telemetry is shared with 39 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session creation,REL-2022-0059,User created logon from Port,user,created logon from,port,4624,an account was successfully logged on.,windows,Logon/Logoff,Logon,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4624|an account was successfully logged on.,windows|logon session|logon session creation,37,0.2891,"Evidence score 0.29: this telemetry is shared with 36 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session creation,REL-2022-0059,User created logon from Port,user,created logon from,port,DeviceLogonEvents,devicelogonevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""LogonSuccess""}",windows|microsoft defender for endpoint|DeviceLogonEvents|devicelogonevents,windows|logon session|logon session creation,40,0.278,"Evidence score 0.28: this telemetry is shared with 39 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session creation,REL-2022-0186,User created Logon,user,created,logon,4624,an account was successfully logged on.,windows,Logon/Logoff,Logon,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4624|an account was successfully logged on.,windows|logon session|logon session creation,37,0.2891,"Evidence score 0.29: this telemetry is shared with 36 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session creation,REL-2022-0186,User created Logon,user,created,logon,4778,a session was reconnected to a window station.,windows,Logon/Logoff,Other Logon/Logoff Events,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4778|a session was reconnected to a window station.,windows|logon session|logon session creation,26,0.3393,"Evidence score 0.34: this telemetry is shared with 25 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
